Variable,Avg_Chi_Square,Avg_Cramers_V,P_Values_Under_005_Count,P_Values_005_and_Above_Count,Significant_Percentage,Total_Samples
has_dental_data,2462.973435531711,0.31372047183232327,1000,0,100.0,1000
has_dietary_data,317.3230200006719,0.11215591036716806,1000,0,100.0,1000
sa_citizen,316.94485860321015,0.11206679525182843,1000,0,100.0,1000
special_needs,112.40751791516074,0.06622160243229722,1000,0,100.0,1000
caregiver_treatment,738.6359225409083,0.17155075374711132,1000,0,100.0,1000
appliance,370.813600410569,0.12129612212314217,1000,0,100.0,1000
plaque,656.6495868581641,0.16172565165444144,1000,0,100.0,1000
dry_mouth,370.1111227330854,0.12124052345362549,1000,0,100.0,1000
enamel_defects,625.445309120599,0.1578143094616156,1000,0,100.0,1000
fluoride_water,693.6409484031286,0.16622044884631595,1000,0,100.0,1000
fluoride_toothpaste,954.2133566940291,0.1950693675431466,1000,0,100.0,1000
topical_fluoride,535.2660726299106,0.14593047428280334,1000,0,100.0,1000
regular_checkups,736.9701167718285,0.17135023660133825,1000,0,100.0,1000
sealed_pits,575.0690578583773,0.1512755096646727,1000,0,100.0,1000
restorative_procedures,235.13695618668584,0.09637555223147477,1000,0,100.0,1000
enamel_change,524.6949401595849,0.14449404011294772,1000,0,100.0,1000
dentin_discoloration,529.8377536945408,0.14520058972684416,1000,0,100.0,1000
white_spot_lesions,632.8666188044755,0.15875927886316188,1000,0,100.0,1000
cavitated_lesions,439.32205813826494,0.13214874292650777,1000,0,100.0,1000
multiple_restorations,464.0258305908621,0.13584264942539187,1000,0,100.0,1000
missing_teeth,427.72330354657396,0.1303826317937725,1000,0,100.0,1000
sweet_sugary_foods,725.1120726356423,0.16998949756725387,1000,0,100.0,1000
sweet_sugary_foods_bedtime,318.26261714004283,0.11238255742297171,1000,0,100.0,1000
sweet_sugary_foods_daily,1135.3854420812954,0.15024775165971635,1000,0,100.0,1000
sweet_sugary_foods_weekly,1256.191976961554,0.15808167706540124,1000,0,100.0,1000
sweet_sugary_foods_timing,726.8322218446995,0.12017980465017743,1000,0,100.0,1000
takeaways_processed_foods,375.6538374619924,0.12214681443666135,1000,0,100.0,1000
takeaways_processed_foods_daily,379.62610066590855,0.08636885992994374,1000,0,100.0,1000
takeaways_processed_foods_weekly,380.491759275104,0.08646856868793994,1000,0,100.0,1000
fresh_fruit,579.1795282754207,0.15182587701521705,1000,0,100.0,1000
fresh_fruit_bedtime,186.0518525277658,0.08557892478109769,1000,0,100.0,1000
fresh_fruit_daily,1031.0380711677258,0.14312328856172166,1000,0,100.0,1000
fresh_fruit_weekly,590.0955604054884,0.10800179367890007,1000,0,100.0,1000
fresh_fruit_timing,586.7538809566552,0.10769086134446479,1000,0,100.0,1000
cold_drinks_juices,656.1107093445601,0.16167496646710539,1000,0,100.0,1000
cold_drinks_juices_bedtime,259.6081084492786,0.10140331176551053,1000,0,100.0,1000
cold_drinks_juices_daily,787.8921362045843,0.1250029225616284,1000,0,100.0,1000
cold_drinks_juices_weekly,899.7247796237089,0.1336508131286148,1000,0,100.0,1000
cold_drinks_juices_timing,659.8015965675444,0.11447099890092156,1000,0,100.0,1000
processed_fruit,457.45539689143783,0.13484512084762837,1000,0,100.0,1000
processed_fruit_bedtime,237.1945011429693,0.0968535346717162,1000,0,100.0,1000
processed_fruit_daily,462.38041754933533,0.09544789680274389,1000,0,100.0,1000
processed_fruit_weekly,463.42175375089374,0.09555673122230007,1000,0,100.0,1000
processed_fruit_timing,468.06720105367594,0.09604321520755642,1000,0,100.0,1000
spreads,600.6548874181602,0.154623740787741,1000,0,100.0,1000
spreads_bedtime,334.3365975540857,0.11518318770514446,1000,0,100.0,1000
spreads_daily,608.5528672463391,0.10969198612505539,1000,0,100.0,1000
spreads_weekly,605.2841730431184,0.10939509993257387,1000,0,100.0,1000
spreads_timing,607.0387231729493,0.10955651070176259,1000,0,100.0,1000
added_sugars,588.4181478145073,0.1530328895119682,1000,0,100.0,1000
added_sugars_bedtime,431.9995649063758,0.13106376262031885,1000,0,100.0,1000
added_sugars_daily,593.9502892716533,0.10835453695436939,1000,0,100.0,1000
added_sugars_weekly,593.5494906208271,0.10831705092919032,1000,0,100.0,1000
added_sugars_timing,592.6504176335624,0.10823406803546631,1000,0,100.0,1000
salty_snacks,385.995514488018,0.12378992348279277,1000,0,100.0,1000
salty_snacks_daily,394.9766141006368,0.08810170185009653,1000,0,100.0,1000
salty_snacks_weekly,391.54666308124,0.0877112998516536,1000,0,100.0,1000
salty_snacks_timing,390.83488221430673,0.08762923704738247,1000,0,100.0,1000
dairy_products,78.29518794581008,0.05486282163588416,1000,0,100.0,1000
dairy_products_daily,88.46278456674641,0.040346060631389735,1000,0,100.0,1000
dairy_products_weekly,85.31272574364974,0.03955517910204594,1000,0,100.0,1000
vegetables,81.15462959892324,0.0558909565953624,1000,0,100.0,1000
vegetables_daily,307.032509681326,0.07748885337012573,1000,0,100.0,1000
vegetables_weekly,87.70601333087752,0.04015324654716336,1000,0,100.0,1000
water,267.40461690333115,0.10286830390774591,1000,0,100.0,1000
water_timing,278.52387208128266,0.07371171634499694,1000,0,100.0,1000
water_glasses,273.96618838574705,0.07309085042785168,1000,0,100.0,1000
